name,address,lat,lon,type
Kedai Kopi dan Makanan Cheong Lee,"15, Lintang Sungai Keramat 7C, Taman Klang Utama, Bandaraya Klang, Klang, Selangor, 42100, Malaysia",3.0863604,101.4149198,restaurant
Restoran Seng Huat Bak Kut Teh,"Jalan Besar, Kampung Atap, Bandaraya Klang, Klang, Selangor, 41000, Malaysia",3.0434981,101.4482538,restaurant
Teck Teh Restoran,"Jalan Stesen 1, Kampung Atap, Bandaraya Klang, Klang, Selangor, 41000, Malaysia",3.0426935,101.4481782,restaurant
Restoran Kelana FC,"15, Lorong Raja Hassan, Bandaraya Klang, Klang, Selangor, 41300, Malaysia",3.0470030,101.4486441,restaurant
Thian Thian,"Lorong Gopeng, Kampung Atap, Bandaraya Klang, Klang, Selangor, 41400, Malaysia",3.0498911,101.4455919,restaurant
Chong Kok Kopitiam,"Jalan Stesen, Bandaraya Klang, Klang, Selangor, 41000, Malaysia",3.0425517,101.4496148,restaurant
Restoran Klang Utama Eating Corner,"Persiaran Sungai Keramat, Taman Klang Utama, Bandaraya Klang, Klang, Selangor, 42100, Malaysia",3.0842589,101.4109817,restaurant
Family Kopitiam,"Jalan Raya Timur, Bandaraya Klang, Klang, Selangor, 41000, Malaysia",3.0425402,101.4500551,restaurant
Restoran Law Tian,"Persiaran Sultan Ibrahim, Kampung Atap, Bandaraya Klang, Klang, Selangor, 41400, Malaysia",3.0487409,101.4496357,restaurant
Restoran Boston Baru,"18, Jalan Kapar, Kampung Atap, Bandaraya Klang, Klang, Selangor, 41000, Malaysia",3.0502455,101.4480885,restaurant
Swee Xiang Restaurant,"7,9, Lintang Sungai Keramat 10B, Taman Klang Utama, Bandaraya Klang, Klang, Selangor, 42100, Malaysia",3.0835765,101.4102408,restaurant
Pizza Hut,"Lebuh Tapah, Kampung Atap, Bandaraya Klang, Klang, Selangor, 41400, Malaysia",3.0510369,101.4427581,restaurant
Restoran Mars Baru,"Jalan Nanas, Kampung Atap, Bandaraya Klang, Klang, Selangor, 41400, Malaysia",3.0509821,101.4474880,restaurant
Restoran San Sin,"Persiaran Sultan Ibrahim, Kampung Atap, Bandaraya Klang, Klang, Selangor, 41400, Malaysia",3.0487139,101.4503649,restaurant
Chow Kiat restoran,"Jalan Kapar, Kampung Atap, Bandaraya Klang, Klang, Selangor, 41400, Malaysia",3.0508514,101.4482548,restaurant
尤师傅肉骨茶 Yew Sifu Bak Kut Teh,"41, Jalan Kepayang, Bandaraya Klang, Klang, Selangor, 41400, Malaysia",3.0502218,101.4503561,restaurant
Nan Feng Restoran,"Jalan Raja Bot, Kampung Atap, Bandaraya Klang, Klang, Selangor, 41400, Malaysia",3.0518239,101.4487713,restaurant
Shami Corner,"Jalan Gelugor, Bandaraya Klang, Klang, Selangor, 41400, Malaysia",3.0505716,101.4504223,restaurant
Gerai Makan Kam Siong,"Jalan Gelugor, Bandaraya Klang, Klang, Selangor, 41400, Malaysia",3.0505727,101.4510236,restaurant
Selero Bistro,"Jalan Kapar, Perumahan PKNS Batu 4, Taman Klang Utama, Bandaraya Klang, Klang, Selangor, 42100, Malaysia",3.0815675,101.4062118,restaurant
